algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
pso,6,504436,2826.0,2305533.0,202.79882966189686,30.340908854966983,1,
ntnsga2,7,754552,2701.0,2206908.0,195.34728090119748,30.794562578201294,1,1.0
nsga2,7,754552,2740.0,2237679.0,197.04385117717052,30.518798004020937,1,
ga,7,754552,3211.0,2609298.0,230.20837710699155,30.28184135898482,1,
aco,7,754552,3280.0,2663739.0,236.8471892933358,30.27476410404779,1,
pso,7,754552,2826.0,2305533.0,205.37971439130263,30.398089854978025,1,
ntnsga2,8,883477,2823.0,2303166.0,203.20659874489326,30.61069679260254,1,1.0
nsga2,8,883477,2738.0,2236101.0,197.86909708589792,30.552453626994975,1,
ga,8,883477,3250.0,2640069.0,232.0636527776912,30.589008920942433,1,
aco,8,883477,3416.0,2771043.0,246.42027837880497,30.073136043036357,1,
pso,8,883477,2826.0,2305533.0,204.56863340930585,30.58644260605797,1,
ntnsga2,9,954120,2663.0,2176926.0,193.02048783830966,30.365458965301514,1,1.0
nsga2,9,954120,2679.0,2189550.0,193.65826556466158,30.287633472005837,1,
ga,9,954120,3186.0,2589573.0,231.6713212992971,30.46188408508897,1,
aco,9,954120,3382.0,2744217.0,243.59949369620404,30.246898364974186,1,
pso,9,954120,2826.0,2305533.0,203.3125248940745,30.4306589969201,1,
ntnsga2,10,1881,2690.0,2198229.0,192.7529906698727,30.048644304275513,1,1.0
nsga2,10,1881,2713.0,2216376.0,195.24408929464005,30.335828977054916,1,
ga,10,1881,3158.0,2567481.0,227.97266977744732,30.137375337071717,1,
aco,10,1881,3345.0,2715024.0,241.2332507477346,30.274881261051632,1,
pso,10,1881,2826.0,2305533.0,203.04339510833788,30.476286130025983,1,
ntnsga2,11,863634,2641.0,2159568.0,190.5126421150019,30.05115795135498,1,1.0
nsga2,11,863634,2647.0,2164302.0,191.17636629391114,30.319254944915883,1,
ga,11,863634,3171.0,2577738.0,227.60832595991636,30.51250693993643,1,
aco,11,863634,3685.0,2983284.0,269.0204325528049,30.466539288987406,1,
pso,11,863634,2826.0,2305533.0,203.98449568812447,30.484087094082497,1,
ntnsga2,12,936910,2737.0,2235312.0,197.04377362782628,30.126591682434082,1,1.0
nsga2,12,936910,2742.0,2239257.0,197.76288203792384,30.27776922401972,1,
ga,12,936910,3228.0,2622711.0,231.22657601178835,30.244752030004747,1,
aco,12,936910,3464.0,2808915.0,248.0337591920002,30.386668120045215,1,
pso,12,936910,2826.0,2305533.0,202.96138166434525,30.508676292025484,1,
ntnsga2,13,562401,2715.0,2217954.0,196.31748346668826,30.56904101371765,1,1.0
nsga2,13,562401,2850.0,2324469.0,205.40536831222263,30.573418239015155,1,
ga,13,562401,3333.0,2705556.0,242.99440959227672,30.03723305906169,1,
aco,13,562401,3547.0,2874402.0,255.5380779963856,30.398324866080657,1,
pso,13,562401,2826.0,2305533.0,205.13001780867106,30.51642356091179,1,
ntnsga2,14,893860,2688.0,2196651.0,194.40737219455377,30.496772050857544,1,1.0
nsga2,14,893860,2665.0,2178504.0,192.21825020495896,30.160886519937776,1,
ga,14,893860,3119.0,2536710.0,224.106308996421,30.58938532602042,1,
aco,14,893860,3154.0,2564325.0,226.47810042745428,30.315381763968617,1,
pso,14,893860,2826.0,2305533.0,203.21482589983168,30.24153426196426,1,
ntnsga2,15,456110,2693.0,2200596.0,191.48577914559996,30.69508934020996,1,1.0
nsga2,15,456110,2739.0,2236890.0,197.9535817842989,30.25917151197791,1,
ga,15,456110,3134.0,2548545.0,226.0591893340311,30.49395019095391,1,
