algorithm,run,seed,distance,cost,route_time,solving_time,clusters,epochs
pso,24,644020,305829.9,700000.0,28007.0,2.1067445278167725,7,
ntnsga2,25,39174,298401.4,700000.0,27406.2,2.2563939094543457,7,1.0
nsga2,25,39174,298715.0,700000.0,27304.0,2.1632139682769775,7,
ga,25,39174,298827.2,700000.0,27372.699999999997,2.122950315475464,7,
aco,25,39174,299557.4,700000.0,27349.0,2.122826099395752,7,
pso,25,39174,305829.9,700000.0,28007.0,2.1168196201324463,7,
ntnsga2,26,58171,298401.4,700000.0,27406.2,2.1715359687805176,7,1.0
nsga2,26,58171,298715.0,700000.0,27304.0,2.1488821506500244,7,
ga,26,58171,298827.2,700000.0,27372.699999999997,2.11904239654541,7,
aco,26,58171,299557.4,700000.0,27349.0,2.1151905059814453,7,
pso,26,58171,305829.9,700000.0,28007.0,2.1137216091156006,7,
ntnsga2,27,256770,298401.4,700000.0,27406.2,2.1981699466705322,7,1.0
nsga2,27,256770,298715.0,700000.0,27304.0,2.1662261486053467,7,
ga,27,256770,298827.2,700000.0,27372.699999999997,2.115267515182495,7,
aco,27,256770,299557.5,700000.0,27345.6,2.1167173385620117,7,
pso,27,256770,305829.9,700000.0,28007.0,2.1140904426574707,7,
ntnsga2,28,382867,298707.9,700000.0,27234.5,2.189575672149658,7,1.0
nsga2,28,382867,298715.0,700000.0,27304.0,2.162388324737549,7,
ga,28,382867,298827.2,700000.0,27372.699999999997,2.124385356903076,7,
aco,28,382867,299557.5,700000.0,27345.6,2.1183769702911377,7,
pso,28,382867,305829.9,700000.0,28007.0,2.108168840408325,7,
ntnsga2,29,369584,298401.4,700000.0,27406.2,2.2302603721618652,7,1.0
nsga2,29,369584,298715.0,700000.0,27304.0,2.168471097946167,7,
ga,29,369584,298827.2,700000.0,27372.699999999997,2.124011278152466,7,
aco,29,369584,299557.4,700000.0,27349.0,2.1206629276275635,7,
pso,29,369584,305829.9,700000.0,28007.0,2.110102415084839,7,
